
  Obs         full_name  cluster  AvergaeExitVelocity  BarrelBattedRate  HardHitPct
    1  Aaron Judge             1                 95.9              25.3        54.2
    2  Freddie Freeman         2                 91.5              12.5        60.2
    3  Jose Ramirez            2                 89.2              11.2        58.2
    4  Luis Arraez             3                 87.5               5.1        65.2
    5  Marcus Semien           2                 89.8              10.5        56.5
    6  Mike Trout              2                 92.1              18.5        52.5
    7  Mookie Betts            2                 90.8              14.2        58.5
    8  Paul Goldschmidt        2                 90.2              13.8        57.8
    9  Rafael Devers           1                 92.5              17.2        54.5
   10  Shohei Ohtani           1                 94.2              22.1        53.1
   11  Xander Bogaerts         2                 88.5               9.8        59.5
   12  Yordan Alvarez          1                 93.7              20.8        55.8

